,M14
380,2.836e-005
381,3.271e-005
382,3.651e-005
383,4.029e-005
384,4.130e-005
385,3.967e-005
386,4.140e-005
387,3.907e-005
388,4.442e-005
389,4.636e-005
390,4.900e-005
391,4.956e-005
392,5.071e-005
393,5.326e-005
394,6.082e-005
395,6.135e-005
396,6.435e-005
397,6.088e-005
398,6.030e-005
399,6.015e-005
400,6.241e-005
401,6.294e-005
402,6.362e-005
403,6.484e-005
404,6.787e-005
405,7.121e-005
406,7.138e-005
407,7.159e-005
408,7.202e-005
409,7.350e-005
410,7.717e-005
411,8.038e-005
412,8.530e-005
413,9.258e-005
414,1.003e-004
415,1.120e-004
416,1.261e-004
417,1.447e-004
418,1.660e-004
419,1.931e-004
420,2.301e-004
421,2.708e-004
422,3.209e-004
423,3.769e-004
424,4.419e-004
425,5.115e-004
426,5.882e-004
427,6.757e-004
428,7.834e-004
429,8.866e-004
430,1.004e-003
431,1.167e-003
432,1.452e-003
433,1.877e-003
434,2.569e-003
435,3.310e-003
436,3.611e-003
437,3.722e-003
438,3.870e-003
439,3.540e-003
440,3.021e-003
441,2.790e-003
442,2.745e-003
443,2.777e-003
444,2.857e-003
445,2.941e-003
446,3.011e-003
447,3.058e-003
448,3.095e-003
449,3.113e-003
450,3.116e-003
451,3.109e-003
452,3.092e-003
453,3.058e-003
454,3.002e-003
455,2.950e-003
456,2.885e-003
457,2.818e-003
458,2.729e-003
459,2.640e-003
460,2.550e-003
461,2.459e-003
462,2.358e-003
463,2.248e-003
464,2.153e-003
465,2.056e-003
466,1.961e-003
467,1.848e-003
468,1.755e-003
469,1.667e-003
470,1.581e-003
471,1.492e-003
472,1.410e-003
473,1.341e-003
474,1.279e-003
475,1.222e-003
476,1.163e-003
477,1.122e-003
478,1.087e-003
479,1.056e-003
480,1.026e-003
481,1.003e-003
482,9.825e-004
483,9.651e-004
484,9.507e-004
485,9.370e-004
486,9.292e-004
487,9.249e-004
488,9.287e-004
489,9.382e-004
490,9.561e-004
491,9.804e-004
492,1.008e-003
493,1.043e-003
494,1.093e-003
495,1.150e-003
496,1.219e-003
497,1.307e-003
498,1.426e-003
499,1.568e-003
500,1.728e-003
501,1.909e-003
502,2.113e-003
503,2.377e-003
504,2.640e-003
505,2.927e-003
506,3.236e-003
507,3.582e-003
508,3.943e-003
509,4.275e-003
510,4.592e-003
511,4.883e-003
512,5.154e-003
513,5.353e-003
514,5.502e-003
515,5.595e-003
516,5.624e-003
517,5.586e-003
518,5.506e-003
519,5.388e-003
520,5.244e-003
521,5.060e-003
522,4.858e-003
523,4.669e-003
524,4.485e-003
525,4.293e-003
526,4.083e-003
527,3.900e-003
528,3.722e-003
529,3.549e-003
530,3.380e-003
531,3.199e-003
532,3.051e-003
533,2.908e-003
534,2.762e-003
535,2.605e-003
536,2.452e-003
537,2.314e-003
538,2.175e-003
539,2.039e-003
540,1.901e-003
541,1.824e-003
542,1.889e-003
543,2.220e-003
544,3.038e-003
545,4.444e-003
546,5.216e-003
547,5.237e-003
548,4.870e-003
549,3.957e-003
550,2.456e-003
551,1.446e-003
552,9.845e-004
553,7.753e-004
554,6.779e-004
555,6.164e-004
556,5.641e-004
557,5.152e-004
558,4.703e-004
559,4.282e-004
560,3.940e-004
561,3.660e-004
562,3.415e-004
563,3.198e-004
564,2.968e-004
565,2.770e-004
566,2.592e-004
567,2.420e-004
568,2.250e-004
569,2.078e-004
570,1.922e-004
571,1.785e-004
572,1.710e-004
573,1.814e-004
574,2.436e-004
575,3.857e-004
576,5.960e-004
577,8.227e-004
578,1.025e-003
579,1.137e-003
580,1.076e-003
581,9.184e-004
582,7.290e-004
583,5.275e-004
584,3.956e-004
585,3.752e-004
586,4.175e-004
587,4.786e-004
588,5.163e-004
589,5.339e-004
590,5.545e-004
591,5.819e-004
592,6.378e-004
593,7.166e-004
594,7.538e-004
595,7.548e-004
596,7.352e-004
597,7.019e-004
598,6.972e-004
599,7.305e-004
600,7.506e-004
601,7.426e-004
602,7.162e-004
603,6.686e-004
604,6.447e-004
605,6.802e-004
606,8.272e-004
607,1.190e-003
608,2.038e-003
609,3.399e-003
610,5.219e-003
611,7.005e-003
612,7.990e-003
613,8.149e-003
614,7.572e-003
615,6.226e-003
616,4.664e-003
617,3.488e-003
618,2.646e-003
619,2.202e-003
620,2.028e-003
621,2.060e-003
622,2.234e-003
623,2.517e-003
624,2.785e-003
625,3.016e-003
626,3.214e-003
627,3.392e-003
628,3.619e-003
629,3.904e-003
630,4.217e-003
631,4.457e-003
632,4.520e-003
633,4.363e-003
634,4.029e-003
635,3.576e-003
636,3.129e-003
637,2.789e-003
638,2.550e-003
639,2.460e-003
640,2.455e-003
641,2.481e-003
642,2.509e-003
643,2.536e-003
644,2.584e-003
645,2.680e-003
646,2.869e-003
647,3.190e-003
648,3.709e-003
649,4.348e-003
650,5.001e-003
651,5.588e-003
652,6.051e-003
653,6.420e-003
654,6.705e-003
655,7.022e-003
656,7.481e-003
657,8.076e-003
658,8.745e-003
659,9.275e-003
660,9.472e-003
661,9.309e-003
662,8.813e-003
663,8.012e-003
664,7.102e-003
665,6.293e-003
666,5.562e-003
667,4.907e-003
668,4.281e-003
669,3.660e-003
670,3.123e-003
671,2.621e-003
672,2.182e-003
673,1.822e-003
674,1.536e-003
675,1.354e-003
676,1.218e-003
677,1.114e-003
678,1.033e-003
679,9.636e-004
680,9.187e-004
681,8.770e-004
682,8.395e-004
683,8.129e-004
684,7.868e-004
685,7.784e-004
686,7.815e-004
687,7.884e-004
688,7.852e-004
689,7.583e-004
690,7.153e-004
691,6.627e-004
692,6.152e-004
693,5.796e-004
694,5.390e-004
695,4.923e-004
696,4.455e-004
697,3.929e-004
698,3.465e-004
699,3.133e-004
700,2.937e-004
701,2.887e-004
702,2.994e-004
703,3.344e-004
704,4.058e-004
705,5.307e-004
706,6.702e-004
707,8.092e-004
708,9.192e-004
709,9.654e-004
710,9.471e-004
711,8.917e-004
712,7.944e-004
713,6.793e-004
714,5.588e-004
715,4.007e-004
716,2.774e-004
717,1.907e-004
718,1.388e-004
719,1.082e-004
720,9.492e-005
721,8.863e-005
722,8.188e-005
723,7.781e-005
724,7.663e-005
725,7.273e-005
726,6.939e-005
727,6.596e-005
728,6.256e-005
729,6.217e-005
730,5.661e-005
731,5.106e-005
732,4.664e-005
733,4.620e-005
734,4.077e-005
735,4.190e-005
736,4.038e-005
737,3.583e-005
738,3.655e-005
739,3.542e-005
740,3.425e-005
741,4.157e-005
742,4.234e-005
743,4.220e-005
744,4.036e-005
745,3.829e-005
746,3.244e-005
747,3.451e-005
748,2.750e-005
749,2.206e-005
750,1.972e-005
751,1.990e-005
752,1.683e-005
753,9.631e-006
754,7.770e-006
755,3.443e-006
756,2.867e-006
757,7.527e-007
758,1.899e-006
759,3.041e-006
760,3.157e-007
761,1.129e-026
762,1.156e-026
763,1.181e-026
764,1.207e-026
765,1.233e-026
766,1.260e-026
767,1.292e-026
768,1.321e-026
769,1.352e-026
770,1.384e-026
771,1.416e-026
772,1.455e-026
773,1.497e-026
774,1.545e-026
775,1.599e-026
776,1.659e-026
777,1.727e-026
778,1.805e-026
779,1.881e-026
780,1.966e-026
